Humidity,Temperature,LDR,Weather
76,31.9,87,Sunny
76,31.9,86,Sunny
76,31.9,80,Sunny
76,31.9,78,Sunny
76,31.9,76,Sunny
76,31.9,77,Sunny
76,31.9,75,Sunny
76,32,74,Sunny
76,31.9,76,Sunny
76,32.1,76,Sunny
76,31.9,75,Sunny
76,31.9,75,Sunny
76,31.9,77,Sunny
76,31.9,75,Sunny
76,31.9,77,Sunny
76,31.9,70,Sunny
76,31.9,75,Sunny
76,32.2,72,Sunny
76,32.4,77,Sunny
76,32.4,73,Sunny
76,32.4,75,Sunny
76,32.4,76,Sunny
76,32.4,75,Sunny
76,32.4,80,Sunny
76,32.4,75,Sunny
76,32.4,84,Sunny
76,32.4,84,Sunny
76,32.4,85,Sunny
76,32.4,85,Sunny
76,32.4,87,Sunny
75,32,86,Sunny
75,31.9,85,Sunny
75,32,81,Sunny
75,32.1,85,Sunny
75,31.9,82,Sunny
75,31.9,76,Sunny
75,32.1,75,Sunny
75,32.4,72,Sunny
75,32.4,76,Sunny
75,32.4,70,Sunny
75,32.4,67,Sunny
75,32.4,68,Sunny
75,32.4,68,Sunny
75,32.4,66,Sunny
75,32.4,65,Sunny
76,32.2,68,Sunny
76,32,68,Sunny
75,32.5,67,Sunny
75,32.5,68,Sunny
75,32.5,64,Sunny
75,32.5,65,Sunny
75,32.5,69,Sunny
75,32.5,73,Sunny
75,32.5,68,Sunny
75,32.5,66,Sunny
75,32.5,67,Sunny
75,32.5,68,Sunny
75,32.6,67,Sunny
75,32.5,67,Sunny
75,32.5,69,Sunny
75,32.5,65,Sunny
75,32.5,67,Sunny
75,32.6,69,Sunny
75,33,72,Sunny
75,33,69,Sunny
75,33,66,Sunny
75,33,67,Sunny
75,33,67,Sunny
75,33,67,Sunny
75,33,69,Sunny
75,33,68,Sunny
75,33,70,Sunny
75,33,68,Sunny
75,32.9,70,Sunny
75,33,77,Sunny
75,33,68,Sunny
75,33,70,Sunny
75,33,76,Sunny
